sports ,kit components ,form options ,gender ,colors,sleeve lenght,collar style ,pattern style ,design inspiration 
soccer ,jersey only ,gender/colors/ sleeves lenght/ collar type/pattern style/ design inpiration,male/ female/ unisex,"primary, secondary, accent 1, accent 2",shorts/ long ,V-neck/ crew neck/ mandarin/ polo collar/ polo collar without button ,Gradient / Slash / Panel / Striped / Digital / Minimal/ electric / multicolor/ geometric/ micro geometric / geometric plus gradient/  front heavy / tech,
soccer ,jersey + shorts ,gender/colors/ sleeves lenght/ collar type/pattern style/ design inpiration,male/ female/ unisex,"primary, secondary, accent 1, accent 2",short/ long ,V-neck/ crew neck/ mandarin/ polo collar/ polo collar without button ,Gradient / Slash / Panel / Striped / Digital / Minimal/ electric / multicolor/ geometric/ micro geometric / geometric plus gradient/  front heavy /  tech,
soccer ,training track suit ,gender/colors/ sleeves lenght/ collar type/pattern style/ design inpiration,male/ female/ unisex,"primary, secondary, accent 1, accent 2",long / sleeveless,full zip/ hooded/ half zip. ,Gradient / Slash / Panel / Striped / Digital / Minimal/ electric / multicolor/ geometric/ micro geometric / geometric plus gradient/  front heavy / tech,
soccer ,training track jacket ,gender/colors/ sleeves lenght/ collar type/pattern style/ design inpiration,male/ female/ unisex,"primary, secondary, accent 1, accent 2",long / sleeveless,full zip/ hooded/ half zip. ,Gradient / Slash / Panel / Striped / Digital / Minimal/ electric / multicolor/ geometric/ micro geometric / geometric plus gradient/  front heavy / tech,
soccer ,track trouser ,gender/colors/pattern style/ design inpiration,male/ female/ unisex,"primary, secondary, accent 1, accent 2",-,-,Gradient / Slash / Panel / Striped / Digital / Minimal/ electric / multicolor/ geometric/ micro geometric / geometric plus gradient/  front heavy / tech,
Basketball,jersey only ,gender/colors/ sleeves lenght/ collar type/pattern style/ design inpiration,male/ female/ unisex,"primary, secondary, accent 1, accent 2",sleeveless,V-neck/ crew neck/ sccop neck/ deep neck.,Gradient / Slash / Panel / Striped / Digital / Minimal/ electric / multicolor/ geometric/ micro geometric / geometric plus gradient/  front heavy / tech,
Basketball,jersey + shorts ,gender/colors/ sleeves lenght/ collar type/pattern style/ design inpiration,male/ female/ unisex,"primary, secondary, accent 1, accent 2",sleeveless,V-neck/ crew neck/ sccop neck/ deep neck.,Gradient / Slash / Panel / Striped / Digital / Minimal/ electric / multicolor/ geometric/ micro geometric / geometric plus gradient/  front heavy /  tech,
Basketball,training track suit ,gender/colors/ sleeves lenght/ collar type/pattern style/ design inpiration,male/ female/ unisex,"primary, secondary, accent 1, accent 2",long / sleeveless,full zip/ hooded/ half zip. ,Gradient / Slash / Panel / Striped / Digital / Minimal/ electric / multicolor/ geometric/ micro geometric / geometric plus gradient/  front heavy / tech,
Basketball,training track jacket ,gender/colors/ sleeves lenght/ collar type/pattern style/ design inpiration,male/ female/ unisex,"primary, secondary, accent 1, accent 2",long / sleeveless,full zip/ hooded/ half zip. ,Gradient / Slash / Panel / Striped / Digital / Minimal/ electric / multicolor/ geometric/ micro geometric / geometric plus gradient/  front heavy / tech,
Basketball,track trouser ,colors/pattern style/ design inpiration,male/ female/ unisex,"primary, secondary, accent 1, accent 2",-,-,Gradient / Slash / Panel / Striped / Digital / Minimal/ electric / multicolor/ geometric/ micro geometric / geometric plus gradient/  front heavy / tech,
rugby ,jersey only ,gender/colors/ sleeves lenght/ collar type/pattern style/ design inpiration,male/ female/ unisex,"primary, secondary, accent 1, accent 2",shorts/ long ,V-neck/ crew neck/ mandarin/ polo collar/ polo collar without button ,Gradient / Slash / Panel / Striped / Digital / Minimal/ electric / multicolor/ geometric/ micro geometric / geometric plus gradient/  front heavy / tech,
rugby ,jersey + shorts ,gender/colors/ sleeves lenght/ collar type/pattern style/ design inpiration,male/ female/ unisex,"primary, secondary, accent 1, accent 2",short/ long ,V-neck/ crew neck/ mandarin/ polo collar/ polo collar without button ,Gradient / Slash / Panel / Striped / Digital / Minimal/ electric / multicolor/ geometric/ micro geometric / geometric plus gradient/  front heavy /  tech,
